year,lower,median,upper
1956,-1.16,-0.17,0.71
1957,-0.84,-0.1,0.73
1958,-0.92,0.3,1.38
1959,-1.08,-0,0.87
1960,-1.33,-0.1,1.58
1961,-1.86,0.05,0.83
1962,-2.16,-0.64,0.13
1963,-1.51,-0.15,0.35
1964,-0.13,0.49,2.09
1965,-1.04,0.34,1.66
1966,-0.63,0.43,0.98
1967,-0.26,0.25,0.77
1968,-0.12,0.15,0.75
1969,-2.08,-0.18,0.26
1970,-1.2,-0.12,0.24
1971,-0.68,-0.33,0.81
1972,-0.54,0.45,0.63
1973,-1.13,-0.05,0.55
1974,-0.84,-0.21,1.16
1975,-1.83,-0.94,0.82
1976,-0.78,-0.15,1.01
1977,-1.24,0.62,2.4
1978,-1.31,-0.05,0.4
1979,-0.94,-0.26,1.61
1980,0.54,0.89,2.01
1981,-0.99,0.43,2.98
1982,-1.2,0.33,0.71
1983,-2.8,-1,-0.24
1984,-1.89,-0.44,0.08
1985,-2.8,-0.4,0.8
1986,0.12,0.44,1.64
1987,-0.15,0.78,1.95
1988,-0.63,-0.51,-0.39
1989,-0.18,0.28,0.71
1990,-0.12,0.14,0.4
1991,-0.23,-0.1,0.03
1992,0.46,0.8,1.17
1993,0.33,0.45,0.58
1994,-0.85,-0.53,-0.22
1995,-0.25,-0.13,-0.01
