year,lower,median,upper
1449,-2.25,-1.0625,0.3125
1450,-1.125,0.0625,1.4375
1451,-1.125,0.0625,1.5
1452,-1.75,-0.5625,0.8125
1453,-2,-0.8125,0.5625
1454,-2.25,-1.0625,0.3125
1455,-2.625,-1.375,-0.0625
1456,-2,-0.8125,0.5625
1457,-1.3125,-0.1875,1.25
1458,-1.5,-0.3125,1.125
1459,-2,-0.8125,0.5625
1460,-0.8125,0.375,1.75
1461,-1.5625,-0.3125,1.0625
1462,-1.5,-0.3125,1.0625
1463,-1.375,-0.1875,1.1875
1464,-2.5625,-1.375,0
1465,-1.1875,0.125,1.5625
1466,-1.1875,0.125,1.5625
1467,-0.5625,0.75,2.1875
1468,-0.9375,0.375,1.8125
1469,-1.375,0,1.4375
1470,-1.8125,-0.5,0.9375
1471,-2,-0.6875,0.75
1472,-1.625,-0.25,1.1875
1473,-1.75,-0.4375,1
1474,-2.125,-0.8125,0.625
1475,-1.4375,-0.125,1.3125
1476,-1.5625,-0.25,1.1875
1477,-0.8125,0.5,1.9375
1478,-0.5625,0.75,2.1875
1479,-0.875,0.5,1.9375
1480,-2.25,-0.875,0.5
1481,-1.6875,-0.375,1.0625
1482,-1.0625,0.3125,1.6875
1483,-1.875,-0.5,0.875
1484,-0.25,1.125,2.5625
1485,-0.0625,1.3125,2.75
1486,-1.5625,-0.25,1.1875
1487,-1.25,0.125,1.5625
1488,-1.4375,-0.0625,1.375
1489,-0.875,0.5,1.9375
1490,-2.25,-0.875,0.5
1491,-1.375,-0.0625,1.375
1492,-1.875,-0.5,0.9375
1493,-0.9375,0.375,1.8125
1494,-2.0625,-0.75,0.6875
1495,-2.5625,-1.1875,0.25
1496,-1.5,-0.1875,1.25
1497,-1.75,-0.4375,1
1498,-0.5,0.8125,2.25
1499,-0.5,0.875,2.3125
1500,-2,-0.625,0.8125
1501,-1.6875,-0.375,1.0625
1502,-1.125,0.1875,1.625
1503,-1.125,0.1875,1.625
1504,-0.75,0.625,2.0625
1505,-1.6875,-0.3125,1.125
1506,-2.75,-1.375,0
1507,-1.25,0.125,1.5625
1508,-1.375,-0.0625,1.375
1509,-1.75,-0.4375,1
1510,-2,-0.625,0.8125
1511,-1.125,0.25,1.625
1512,-1.375,-0,1.4375
1513,-1.625,-0.3125,1.125
1514,-0.9375,0.4375,1.875
1515,-1.625,-0.3125,1.125
1516,-2.5,-1.125,0.3125
1517,-1,0.3125,1.75
1518,-1.4375,-0.0625,1.375
1519,-1.3125,0,1.4375
1520,-0.9375,0.4375,1.875
1521,-1.3125,0.0625,1.5
1522,-2.125,-0.8125,0.625
1523,-1.8125,-0.5,0.9375
1524,-2.1875,-0.875,0.5625
1525,-1.375,-0.0625,1.375
1526,-0.5,0.875,2.3125
1527,-1.6875,-0.375,1.0625
1528,-2.375,-1.0625,0.375
1529,-1.8125,-0.4375,0.9375
1530,-0.6875,0.625,2.0625
1531,-1.9375,-0.5625,0.875
1532,-2.4375,-1.0625,0.375
1533,-1.625,-0.25,1.125
1534,-1.125,0.25,1.6875
1535,-2.3125,-0.9375,0.5
1536,-0.875,0.4375,1.875
1537,-1.3125,-0,1.4375
1538,-2,-0.6875,0.75
1539,-1.25,0.125,1.5625
1540,-0.8125,0.5,1.9375
1541,-1,0.3125,1.75
1542,-2.375,-1,0.4375
1543,-1,0.3125,1.75
1544,-2.1875,-0.875,0.5625
1545,-1.4375,-0.125,1.3125
1546,-1.8125,-0.5,0.9375
1547,-1.375,-0.0625,1.375
1548,-2.0625,-0.6875,0.75
1549,-1.9375,-0.625,0.8125
1550,-0.8125,0.5,1.9375
1551,-1.375,-0,1.4375
1552,-1.875,-0.5625,0.875
1553,-2,-0.6875,0.75
1554,-1.4375,-0.125,1.3125
1555,-0.9375,0.375,1.8125
1556,-1.5,-0.125,1.3125
1557,-1.3125,0,1.4375
1558,-1.8125,-0.4375,0.9375
1559,-1.375,-0.0625,1.375
1560,-1.75,-0.375,1.0625
1561,-2,-0.6875,0.75
1562,-1.5,-0.1875,1.25
1563,-1.25,0.0625,1.5
1564,-0.8125,0.5,1.9375
1565,-1.375,0,1.4375
1566,-1.625,-0.3125,1.125
1567,-1.8125,-0.5,0.9375
1568,-1.625,-0.25,1.1875
1569,-0.8125,0.5,1.9375
1570,-1.625,-0.3125,1.125
1571,-2,-0.6875,0.75
1572,-2.125,-0.8125,0.625
1573,-2.5,-1.125,0.25
1574,-1.3125,0,1.4375
1575,-0.9375,0.375,1.8125
1576,-1.6875,-0.375,1.0625
1577,-1.5,-0.125,1.25
1578,-1.5,-0.25,1.125
1579,-1.25,0,1.375
1580,-1.3125,0,1.375
1581,-0.625,0.6875,2.0625
1582,-0.8125,0.4375,1.8125
1583,-2.0625,-0.75,0.625
1584,-2.0625,-0.75,0.625
1585,-2.1875,-0.9375,0.4375
1586,-1.25,0.0625,1.4375
1587,-1.125,0.1875,1.5
1588,-1,0.25,1.625
1589,-1.875,-0.625,0.75
1590,-1.125,0.125,1.5
1591,-1.8125,-0.5625,0.8125
1592,-1.3125,0,1.375
1593,-1.25,-0,1.375
1594,-0.5625,0.6875,2.0625
1595,-1.8125,-0.5625,0.8125
1596,-1.5,-0.1875,1.1875
1597,-0.9375,0.3125,1.6875
