year,median
1834,-0.723208739081405
1835,-0.506669271599168
1836,0.291898688029959
1837,0.0688724563238758
1838,0.410495267656291
1839,0.178444398036771
1840,0.011211470487393
1841,-0.0772722833060314
1842,-0.460470693466824
1843,-0.0113356338086451
1844,0.282581705937523
1845,-0.24112320881639
1846,-0.0493785845686631
1847,0.632379468121531
1848,-0.611435643063568
1849,-0.127638471032629
1850,0.393334695363128
1851,-0.501269817775503
1852,-0.283181972038488
1853,-0.191893972893862
1854,0.0929141714138211
1855,-0.114746926243588
1856,0.0129782871093671
1857,0.476776529612675
1858,0.261450534582788
1859,0.295691477981418
1860,-0.695996195959101
1861,-0.881624792639399
1862,-0.122608971239139
1863,-0.446200505390425
1864,1.28995408373118
1865,0.832706468326149
1866,-0.173773021049144
1867,0.371892666105095
1868,0.0044620064854465
1869,0.42111651778683
1870,-0.440420535411186
1871,-0.179956107175354
1872,0.145550425142315
1873,-0.78094739846336
1874,-0.752692039783018
1875,0.107443939963171
1876,0.423186746466
1877,0.838955927514444
1878,-0.460636832333863
1879,-0.839170273497733
1880,-0.383432631508122
1881,-0.262836748126367
1882,0.690472575284759
1883,0.0664067833800991
1884,0.221404122965533
1885,0.560304987051732
1886,-1.0571486497927
1887,0.511063301819189
1888,0.634054039343831
1889,-0.445283654972013
1890,-0.0016281947197298
1891,0.134774638729839
1892,0.653739653407927
1893,0.10972612467419
1894,-0.376495138504425
1895,-0.242780581980936
1896,0.520345716555896
1897,-0.161458637990786
1898,-0.0457791368658762
1899,-0.429143282741057
1900,-0.37789222445234
1901,0.479360209084462
1902,-0.612367509991472
1903,-0.194395798729245
1904,0.732302520468232
1905,0.338208667813458
1906,0.112398240923447
1907,-0.222749148227492
1908,-0.242371958343318
1909,-0.548834907123013
1910,0.0128402953629829
1911,0.695294843186232
1912,-0.548762324965017
1913,0.0340684021517513
1914,0.879834340312756
1915,0.874549149454474
1916,-0.784554182200199
1917,0.0704679231643879
1918,0.458751989588346
1919,-0.553227380780837
