year,nino3.4
1836,26.503745747666812
1837,27.21439578051853
1838,27.563930122135584
1839,26.957461392746385
1840,27.130791729818284
1841,26.55343681548426
1842,26.410810297629116
1843,26.792078524283884
1844,26.68308147215294
1845,27.190932285723786
1846,27.092103413710024
1847,26.514744892693145
1848,26.258803226789528
1849,26.489751789317978
1850,27.089697154059575
1851,27.395343359942242
1852,27.318505959824325
1853,27.358345527494368
1854,27.164523195324833
1855,27.153651762267362
1856,26.629016033540164
1857,26.620654607145184
1858,26.971206353147053
1859,26.144643553523807
1860,26.342116999590036
1861,26.460057124770724
1862,26.710486624973544
1863,26.774483199215798
1864,27.285657434444946
1865,27.09597910165074
1866,27.150723695312696
1867,26.75922770542112
1868,27.07218290989432
1869,26.52691474811996
1870,26.631185693540242
1871,26.41070354214038
1872,26.427641302235497
1873,26.72431627952795
1874,26.50764763172924
1875,26.442670885199494
1876,26.49316332858775
1877,27.303899878854974
1878,26.899122981276022
1879,25.527111892054368
1880,25.793270985090277
1881,25.868711454104552
1882,25.78141977695337
1883,25.984625358252185
1884,27.45734885606743
1885,27.00856089920148
1886,26.30295158847594
1887,26.79224839695493
1888,27.84729403092359
1889,26.281936940412226
1890,26.1495437226867
1891,26.907570191660692
1892,26.086586639350557
1893,25.740011990051656
1894,26.221601112658604
1895,26.683977141631004
1896,27.345906817444643
1897,25.93443770211181
1898,26.166523217825404
1899,27.032135452479338
1900,26.868584535111864
1901,27.001593062715425
1902,27.84045682955731
1903,27.069247529042027
1904,27.534203082262376
1905,28.382401271292878
1906,27.278960745577304
1907,26.84407124634716
1908,25.535478482358773
1909,25.824398696981195
1910,25.798009958299975
1911,27.536940600187084
1912,27.132112784550376
1913,27.035235373107994
1914,27.656569164596206
1915,26.980704214311
1916,25.800661196371422
1917,25.73780378700587
1918,27.62910474878629
1919,27.833755357171697
1920,26.48826850494905
1921,26.1167192691604
1922,26.668298681224357
1923,27.414265428244324
1924,26.388119301497795
1925,27.069391854973897
1926,26.807661812217805
1927,26.399900990009964
1928,26.52963465500481
1929,27.160109893265346
1930,28.144050229057655
1931,26.961165540641165
1932,26.29982818556434
1933,25.76658430712979
1934,26.29432886712189
1935,26.471413531450057
1936,26.865689448730464
1937,26.716632869086368
1938,26.848685992673747
1939,27.65910169484253
1940,28.598245440708197
1941,28.453227387506626
1942,26.871484018267243
1943,26.039059575867583
1944,26.375707749054346
1945,26.124429092557474
1946,26.71898357604124
1947,26.44344128780413
1948,26.659611311617976
1949,25.859020073840316
1950,25.89645496927339
1951,27.36685156852293
1952,26.700195388595276
1953,26.874391266879588
1954,25.800414091524786
1955,25.58621777198374
1956,26.077528605702057
1957,27.47179578351817
1958,27.87454903229411
1959,26.713705472631318
1960,26.151739687278354
1961,26.776302132129597
1962,26.294306360289436
1963,27.143346305003067
1964,26.321807446055086
1965,27.90925250477254
1966,26.944961211905632
1967,26.329784063742284
1968,26.7400630893583
1969,27.151644135326766
1970,25.716041778438793
1971,25.98999059412552
1972,27.65275617040467
1973,25.71610413953968
1974,25.89432010831297
1975,25.3073347151789
1976,27.09456825341182
1977,27.136219164646516
1978,26.85197503113103
1979,27.222436571792475
1980,27.461709833068976
1981,26.76676175784382
1982,28.090069556981145
1983,27.192450610189656
1984,26.91201998803732
1985,26.779159039522664
1986,27.832424278505897
1987,28.151319601719138
1988,26.26299826227827
1989,26.7453755192364
1990,27.718167672127635
1991,28.346150140587156
1992,27.971968611161028
1993,27.9431412902146
1994,28.407530166305648
1995,27.255026002638925
