,date,c13,o18
438,1757.88,-25.41,25.79
439,1758.08,-25.13,25.79
440,1758.25,-24.91,25.48
441,1758.42,-25.32,24.44
442,1758.58,-25.28,24.85
443,1758.75,-25.26,24.98
444,1758.92,-25.45,24.77
445,1759.08,-25.15,25.91
446,1759.25,-24.96,26.25
447,1759.42,-24.92,26.08
448,1759.58,-25.01,26.05
449,1759.75,-24.89,26.74
450,1759.92,-24.59,27.61
451,1760.17,-24.96,26.28
452,1760.5,-25.12,24.95
453,1760.83,-24.81,25.1
454,1761.08,-24.63,25.27
455,1761.25,-24.61,25.12
456,1761.42,-24.84,24.18
457,1761.58,-25.56,23.9
458,1761.75,-24.71,24.63
459,1761.92,-24.61,24.13
460,1762.08,-25.17,24.6
461,1762.25,-25.25,24.97
462,1762.42,-24.44,26.07
463,1762.58,-24.55,26.11
464,1762.75,-24.73,24.91
465,1762.92,-25.28,24.42
466,1763.08,-25.33,25.49
467,1763.25,-24.84,25.45
468,1763.42,-24.32,25.91
469,1763.58,-24.29,26.05
470,1763.75,-24.15,26.29
471,1763.92,-24.43,26.58
472,1764.08,-25.06,25.78
473,1764.25,-25.01,25.35
474,1764.42,-24.95,25.76
475,1764.75,-25.32,26.89
476,1764.92,-25.47,26.0
477,1765.08,-25.19,25.06
478,1765.25,-24.99,24.75
479,1765.42,-24.78,23.99
480,1765.58,-25.09,23.88
481,1765.75,-25.15,24.91
482,1765.92,-25.09,25.26
483,1766.08,-25.15,25.83
484,1766.25,-25.51,24.51
485,1766.42,-25.34,24.61
486,1766.58,-25.64,24.24
487,1766.75,-26.02,25.4
488,1766.92,-26.09,25.89
489,1767.08,-25.85,24.25
490,1767.25,-25.4,24.4
491,1767.42,-24.95,25.96
492,1767.58,-25.58,23.41
493,1767.75,-25.51,24.41
494,1767.92,-25.5,26.39
495,1768.08,-25.66,25.76
496,1768.25,-25.53,25.62
497,1768.42,-25.24,25.24
498,1768.58,-25.69,24.28
499,1768.75,-25.91,24.77
500,1768.92,-25.91,26.0
501,1769.13,-25.12,25.99
502,1769.38,-24.88,25.79
503,1769.63,-24.75,25.27
504,1769.88,-24.99,24.84
505,1770.08,-24.6,25.01
506,1770.25,-24.65,24.89
507,1770.42,-24.68,24.2
508,1770.58,-24.79,24.54
509,1770.75,-24.92,25.09
510,1770.92,-24.8,26.65
511,1771.08,-24.89,26.09
512,1771.25,-24.32,26.86
513,1771.42,-24.27,26.18
