date,c13,o18
1860.13,-26.88,27.25
1860.38,-26.22,27.93
1860.63,-26.16,25.75
1860.88,-26.55,25.98
1861.1,-26.59,26.52
1861.3,-26.67,26.1
1861.5,-26.28,26.15
1861.7,-26.15,25.55
1861.9,-25.96,26.69
1862.1,-25.73,28.1
1862.3,-26.05,27.36
1862.5,-26.07,27.56
1862.7,-25.78,28.49
1862.9,-25.72,28.14
1863.1,-25.49,27.82
1863.3,-25.13,28.31
1863.5,-25.22,27.54
1863.7,-25.1,28.87
1863.9,-25.53,28.3
1864.1,-25.3,29.75
1864.3,-25.7,29.1
1864.5,-25.93,28.99
1864.7,-26.01,30.54
1864.9,-26.36,30.02
1865.13,-26.21,29.75
1865.38,-26.08,29.03
1865.63,-26.22,28.86
1865.88,-26.55,29.08
1866.1,-26.54,28.52
1866.3,-24.95,26.85
1866.5,-24.37,28.23
1866.7,-24.3,28.54
1866.9,-24.72,26.86
1867.08,-24.5,27.66
1867.25,-24.79,28.0
1867.42,-25.08,28.22
1867.58,-25.23,28.84
1867.75,-25.15,29.42
1867.92,-24.22,29.14
1868.08,-23.83,27.75
1868.25,-24.1,28.48
1868.42,-24.92,28.31
1868.58,-25.1,28.02
1868.75,-25.14,28.66
1868.92,-24.83,29.11
1869.08,-23.5,27.82
1869.25,-23.79,27.82
1869.42,-23.88,29.65
1869.58,-24.3,27.93
1869.75,-24.38,27.43
1869.92,-25.31,27.19
1870.08,-25.42,28.88
1870.25,-24.18,28.66
1870.42,-24.16,26.42
1870.58,-24.8,26.93
1870.75,-24.96,26.4
1870.92,-25.33,26.04
1871.08,-24.08,27.23
1871.25,-24.05,26.62
1871.42,-24.02,28.6
1871.58,-24.82,27.55
1871.75,-25.2,27.62
1871.92,-25.3,27.62
1872.08,-23.78,27.42
1872.25,-23.71,28.09
1872.42,-24.01,27.81
1872.58,-24.09,27.41
1872.75,-24.7,26.32
1872.92,-25.03,25.96
1873.08,-23.9,27.9
1873.25,-23.91,27.22
1873.42,-23.92,28.21
1873.58,-24.44,26.23
